listing_url,name,host_id,host_name,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,license,host_lcount
https://www.airbnb.com/rooms/8163154,Room with double bed in central district La Latina,4760483,Sergio,Centro,40.40898,-3.71039,Private room in loft,Private room,2,25,2,11,False,3
https://www.airbnb.com/rooms/8171420,Room in nice flat at Retiro Gardens,43124108,Ana,Retiro,40.41802,-3.67507,Private room in rental unit,Private room,1,50,5,10,False,1
https://www.airbnb.com/rooms/8350653,"Habitación 2 personas, Cama Doble",2321467,Diego Lázaro,Latina,40.41044,-3.73523,Private room in rental unit,Private room,2,20,2,238,False,2
https://www.airbnb.com/rooms/8179336,APART MADRID-HUERTAS/WIFI/AA,4083688,Mari Paz,Centro,40.41315,-3.69597,Entire rental unit,Entire home/apt,2,58,3,216,False,4
https://www.airbnb.com/rooms/8351488,FG 3H Habitación. Apartamento Nuevo y Moderno,14032635,Carlos,Retiro,40.4163,-3.67359,Private room in rental unit,Private room,1,61,1,20,False,34
https://www.airbnb.com/rooms/8354418,Habitacion en piso compartido,44034356,Antonia,Salamanca,40.43163,-3.67591,Private room in home,Private room,1,35,30,0,False,1
https://www.airbnb.com/rooms/8192177,"Beautiful apartment, feel like home",43211259,Antonio,Carabanchel,40.38621,-3.73981,Entire rental unit,Entire home/apt,4,46,3,84,False,1
https://www.airbnb.com/rooms/8368543,Acogedora casa a 15 min del centro 2,44107041,Marta,Moncloa - Aravaca,40.46322,-3.72396,Private room in home,Private room,1,22,2,42,False,3
https://www.airbnb.com/rooms/8370275,Habitación amplia y luminosa ;o),44033485,Francisco,Ciudad Lineal,40.43354,-3.6507,Private room in rental unit,Private room,2,30,2,44,False,1
https://www.airbnb.com/rooms/8201621,Acogedor apartamento en Lavapies,43255183,Marta,Centro,40.40862,-3.69975,Entire rental unit,Entire home/apt,3,56,5,7,False,1
https://www.airbnb.com/rooms/8385825,Habitación con muy buena energia,3569462,Claudia,Salamanca,40.43229,-3.67494,Private room in rental unit,Private room,1,30,3,221,False,2
https://www.airbnb.com/rooms/8389063,Piso en madrid,22168282,Concha,Villa de Vallecas,40.37843,-3.62901,Entire home,Entire home/apt,4,150,3,21,False,1
https://www.airbnb.com/rooms/8203469,Habitación céntrica en Madrid,43259319,Nuria,Moncloa - Aravaca,40.42213,-3.7244,Private room in rental unit,Private room,2,40,1,4,False,1
https://www.airbnb.com/rooms/8394827,Apartamento Galería en el centro,30348413,Enrique H,Centro,40.4133,-3.69678,Entire rental unit,Entire home/apt,4,96,3,261,False,4
https://www.airbnb.com/rooms/8221248,Plaza Mayor Junior,3797913,Rocio,Centro,40.41667,-3.70748,Entire rental unit,Entire home/apt,4,106,3,86,True,7
https://www.airbnb.com/rooms/8231834,"Habitación privada, acogedora, 30min del centro",107929031,Susana,Carabanchel,40.3779,-3.75392,Private room in rental unit,Private room,1,16,7,18,False,3
https://www.airbnb.com/rooms/8394957,"Sunny, quiet studio, Madrid centre",44233425,Andrew,Centro,40.41045,-3.69721,Entire rental unit,Entire home/apt,2,57,3,270,False,3
https://www.airbnb.com/rooms/8395896,Room (2) Acogedora casa junto C.C.Plenilunio,5746574,Victor,San Blas - Canillejas,40.44468,-3.58021,Private room in condo,Private room,2,82,2,14,False,2
https://www.airbnb.com/rooms/8231932,"Económica, tranquila, 30min al centro",107929031,Susana,Carabanchel,40.378,-3.75395,Private room in rental unit,Private room,1,19,7,26,False,3
https://www.airbnb.com/rooms/8234848,Habitación acogedora en Madrid,43424967,Juana,Moncloa - Aravaca,40.46861,-3.72188,Private room in rental unit,Private room,1,22,2,37,False,2
https://www.airbnb.com/rooms/8398117,Big room with two balconies in city center!,14636546,Tomas,Centro,40.41373,-3.70613,Private room in rental unit,Private room,2,28,4,65,False,1
https://www.airbnb.com/rooms/8398675,habitacion privada con cama en piso,44247859,Ana,Fuencarral - El Pardo,40.47853,-3.70301,Private room in rental unit,Private room,3,24,1,17,False,3
https://www.airbnb.com/rooms/8250589,"Atocha Museos, 2 habitaciones",3926474,Ana,Arganzuela,40.40281,-3.69248,Entire rental unit,Entire home/apt,6,120,3,121,False,3
https://www.airbnb.com/rooms/8399290,"TRENDY APARTMENT NEAR GRAN VIA, CENTER",3939801,Juan,Centro,40.42099,-3.69777,Entire rental unit,Entire home/apt,2,98,2,240,True,3
https://www.airbnb.com/rooms/8261291,Accommodation and local guide,19858798,Sergio,Centro,40.413,-3.71201,Private room in rental unit,Private room,1,19,2,1,False,1
https://www.airbnb.com/rooms/8399457,"NEW APARTEMENT IN CHUECA, DOWNTOWN WITH AIR COND.",3939801,Juan,Centro,40.42215,-3.69829,Entire rental unit,Entire home/apt,2,80,2,253,True,3
https://www.airbnb.com/rooms/8404895,Acogedora casa a 15 min del centro 3,44107041,Marta,Moncloa - Aravaca,40.46531,-3.72212,Private room in home,Private room,2,40,10,31,False,3
https://www.airbnb.com/rooms/8267919,BEAUTIFUL ROOM IN MALASAÑA,18722274,Eva,Centro,40.42591,-3.70598,Private room in rental unit,Private room,1,40,4,36,False,1
https://www.airbnb.com/rooms/8269942,Habitación de Corazón en pacífico (loft de kamin),43605966,秀芬,Retiro,40.40329,-3.67467,Private room in rental unit,Private room,1,28,2,0,False,2
https://www.airbnb.com/rooms/8408228,NEW CHIC CENTER. ROYAL PALACE,5700613,Andres,Centro,40.41651,-3.71073,Entire loft,Entire home/apt,2,70,1,233,False,13
https://www.airbnb.com/rooms/8271858,Room.Center.La Latina. Artists flat,43610052,Alejandro,Centro,40.41132,-3.70982,Private room in rental unit,Private room,2,29,1,5,False,1
https://www.airbnb.com/rooms/8418514,Casa- museo en Malasaña town 1,36628443,Chema,Centro,40.42367,-3.70454,Private room in home,Private room,2,50,1,176,False,2
https://www.airbnb.com/rooms/8422607,"Cozy and quiet, in the heart of Madrid",5239042,Maribel & Jose,Centro,40.41058,-3.70217,Entire rental unit,Entire home/apt,3,74,3,176,True,20
https://www.airbnb.com/rooms/8271984,habitacion en pleno centro de madrid,43617356,Laurys,Centro,40.40698,-3.70198,Private room in rental unit,Private room,1,30,2,77,False,1
https://www.airbnb.com/rooms/8432612,Cozy & Bright Penthouse,2932927,Mae,Centro,40.41065,-3.70387,Entire rental unit,Entire home/apt,7,106,4,2,False,1
https://www.airbnb.com/rooms/8278501,Cozy apartment WIFI El Retiro Park,43653323,Antonio,Retiro,40.40492,-3.67553,Entire rental unit,Entire home/apt,4,83,3,273,False,3
https://www.airbnb.com/rooms/8438464,Habitación con wc independiente en zona centro,43172155,Jairo,Centro,40.40733,-3.70608,Private room in rental unit,Private room,2,52,5,94,False,1
https://www.airbnb.com/rooms/8284728,5-Star Flat in Centre of Madrid,15233548,Luke,Centro,40.41718,-3.70415,Entire rental unit,Entire home/apt,7,106,2,186,True,1
https://www.airbnb.com/rooms/8449567,Comodidad en Madrid :),37427328,Tania,Puente de Vallecas,40.3916,-3.64173,Private room in rental unit,Private room,1,16,2,10,False,1
https://www.airbnb.com/rooms/8454596,"Calle Mayor, trendy, bright, central, balcony",37291567,Luis,Centro,40.41507,-3.70782,Entire serviced apartment,Entire home/apt,4,159,2,96,False,11
https://www.airbnb.com/rooms/8310672,Majestic Flat in Gran Via,3836436,Claudia,Centro,40.41964,-3.70261,Entire rental unit,Entire home/apt,4,117,3,81,False,1
https://www.airbnb.com/rooms/8455978,Relájate después de patear Madrid,43787660,Oscar,Arganzuela,40.39597,-3.68378,Entire rental unit,Entire home/apt,3,90,4,62,False,1
https://www.airbnb.com/rooms/8467003,Great room in Moncloa — Argüelles,5649948,Rafaela,Chamberí,40.43723,-3.7156,Private room in rental unit,Private room,2,33,15,10,False,2
https://www.airbnb.com/rooms/8316352,Apartamento completamente exterior. 70 m2,32050733,Anita,Centro,40.42853,-3.70524,Entire rental unit,Entire home/apt,2,150,2,37,False,1
